"","fips","aveBMI","avePM.idw","per.black","per.latinx","per.asnam","per.white","med.hinc","med.hval","lt.HS","female.unemp","male.unemp","climate.region"
"43",5033,30.5178582,11.474545,0.010153954,0.047940699,0.01421115,0.890236414,40197,98800,20.7,4.3,5,"south"
"44",5035,27.38013585,11.807627,0.468345663,0.017260965,0.006289308,0.498739368,33716,101100,29,11.2,12,"south"
"45",5045,28.59054802,11.015966,0.094952921,0.032996082,0.012024095,0.841347447,45287,127500,5.8,6.7,5.3,"south"
"46",5051,26.77130131,11.012397,0.07101184,0.037916003,0.00708538,0.865285588,36844,126900,27.5,7.2,7.4,"south"
"47",5059,27.39217234,11.012397,0.102864841,0.021516028,0.003011451,0.857431549,37150,77400,19.2,8.7,8.8,"south"
"48",5063,26.40166682,11.014167,0.018057799,0.045808652,0.006677437,0.915885837,34625,82400,12.3,5.2,8.1,"south"
"49",5067,29.72827149,11.014167,0.155857814,0.019350768,0.003155016,0.807473883,27615,60100,17.8,8.1,11.4,"south"
"50",5081,27.26276707,12.148276,0.179589396,0.022623082,0.002491529,0.770679689,33416,73100,6.9,6.5,9.6,"south"
"51",5085,28.34069825,12.20790597,0.057768804,0.025906108,0.007632509,0.893366986,50757,117900,22.1,6.5,6.8,"south"
"52",5087,27.02416212,11.139831,0.001426653,0.037092984,0.004615643,0.934625713,36502,97700,18.3,2.3,4,"south"
"53",5091,26.34085579,12.148276,0.225533984,0.020751679,0.004648619,0.73287151,40307,86400,21.3,7.1,6.9,"south"
"54",5107,28.34513093,11.450833,0.584952698,0.010547175,0.003196114,0.39356942,27361,60200,37.2,12.9,16.7,"south"
"55",5113,28.97385756,10.942857,0.001334096,0.041865193,0.0042564,0.917921352,32525,79300,18.2,3.6,5.2,"south"
"56",5115,26.04091717,11.283193,0.026350683,0.053164397,0.01029192,0.888893566,39841,99500,13.8,6.1,5.4,"south"
"57",5119,27.93026821,12.32048257,0.31926639,0.049720715,0.019407151,0.596094479,45121,134300,18.3,6.9,6.3,"south"
"58",5125,29.02529994,12.08342356,0.040887144,0.030254757,0.008212006,0.907124069,51502,130100,18.2,4.9,4.5,"south"
"59",5131,26.70402339,11.474545,0.057968081,0.094095587,0.040016194,0.771483668,39482,108000,22.2,5.4,5.6,"south"
"60",5139,28.48943575,11.615833,0.30812591,0.028279182,0.004496802,0.64788777,36464,71200,26.1,7.3,8.8,"south"
"61",5143,27.68598087,11.139831,0.027351713,0.120694546,0.022318101,0.787473364,42303,154900,14.4,5.3,5.9,"south"
"62",5145,29.85952363,11.67094,0.036543151,0.029108333,0.005695479,0.912555633,39178,92700,12.7,6.4,5.5,"south"
"63",5149,27.47613179,11.283193,0.013452366,0.14840406,0.011801394,0.811911459,36606,75300,32.7,5.7,6.6,"south"
"64",6001,26.03297711,8.594475996,0.122424657,0.197642885,0.263033386,0.373518574,69384,590900,NA,7.7,NA,"west"
"65",6007,26.62344979,7.987931,0.013904229,0.117072806,0.035039578,0.79113742,43170,265400,9.2,8.3,12.1,"west"
"66",6013,26.62188009,7.850411453,0.087434688,0.212681987,0.147227718,0.516497996,78385,548200,NA,7.5,NA,"west"
"67",6019,29.11394388,14.23749667,0.048195631,0.453030356,0.092612985,0.381428394,46430,257000,23.3,10.3,10.8,"west"
"68",6023,27.68053108,5.903792255,0.010561351,0.080930068,0.019337684,0.807599338,40089,324700,11.6,6.6,NA,"west"
"69",6025,27.11848795,7.163884222,0.037827108,0.768929758,0.014129466,0.162529369,38685,192600,23.7,13.8,12.9,"west"
"70",6029,28.79820887,16.07773607,0.055378704,0.438169243,0.042780292,0.437610793,47089,217100,25,11.6,9.4,"west"
"71",6031,26.88940394,14.578313,0.0787167,0.460990275,0.037832552,0.390921274,48684,220400,27.3,12.3,10.3,"west"
"72",6033,26.87886316,3.07541,0.019394819,0.135391132,0.011452552,0.783617359,39491,265400,32.4,10.5,11,"west"
"73",6037,27.16535123,10.65273739,0.084638673,0.431394112,0.147990864,0.312677976,55476,508800,NA,8,NA,"west"
"74",6047,27.35838894,12.497619,0.037019903,0.49346926,0.072246495,0.372483509,43844,241000,19.2,12.4,12.2,"west"
"75",6057,25.70789959,4.758696,0.003188631,0.069534761,0.011925984,0.887004444,57121,444100,NA,5.9,NA,"west"
"76",6059,26.41603419,9.158968591,0.015283433,0.29434111,0.184798553,0.480939473,74344,607900,NA,7.2,NA,"west"
"77",6061,25.88047334,4.758696,0.012846169,0.108290582,0.056852746,0.791298173,74447,427600,NA,6,NA,"west"
"78",6063,24.89738448,7.235467454,0.008777277,0.064610508,0.006156284,0.876386688,44000,289100,NA,7.5,12.5,"west"
"79",6065,27.77954398,6.991667,0.060289908,0.398744722,0.062701453,0.452662671,57768,325300,20.7,10.4,NA,"west"
"80",6067,27.43711992,8.031112856,0.095172558,0.184821001,0.140854476,0.52946336,56439,324200,17.3,8.2,10.5,"west"
"81",6073,27.14073985,10.69106874,0.047025804,0.278920943,0.111354219,0.529028381,63069,486000,NA,7.1,NA,"west"
"82",6077,28.15428328,8.876786,0.070107846,0.340580129,0.141561181,0.411057365,54341,318600,NA,11.6,10.6,"west"
"83",6079,26.38294271,5.520339,0.021261815,0.173618348,0.031915574,0.744309768,57365,513900,NA,5.7,NA,"west"
"84",6081,26.15020497,9.569903,0.02766884,0.228055825,0.254494978,0.449524682,85648,784800,NA,5.7,NA,"west"
"85",6085,26.34170469,9.569903,0.024907976,0.238167824,0.321820106,0.386157946,86850,701000,NA,7.5,NA,"west"
"86",6087,27.08367001,9.569903,0.009223826,0.273032991,0.045940357,0.642619006,65253,648700,NA,8,NA,"west"
"87",6089,27.01680494,4.894535984,0.007181746,0.066525649,0.023355213,0.853457487,43944,267600,12.9,9.6,12.6,"west"
"88",6093,25.82564957,4.501818,0.012396346,0.081770907,0.012143359,0.827828531,36981,237400,13.9,11.1,12.3,"west"
"89",6095,27.55026056,8.233636441,0.143122873,0.205125574,0.151185501,0.448207075,68409,389800,NA,8.5,NA,"west"
"90",6099,28.57250315,11.221622,0.025437319,0.363996243,0.050700391,0.52327693,51094,285200,19.7,12.5,10.4,"west"
"91",6101,29.9162955,5.92716,0.018899818,0.245391621,0.146112933,0.548225865,50944,262200,21.4,10.5,12.5,"west"
"92",6113,26.45437157,5.995217513,0.023618395,0.261393653,0.141420454,0.534177737,57077,391300,7,6.5,NA,"west"
"93",6115,28.04851139,5.309683138,0.029825076,0.206977426,0.061741425,0.643975374,46807,224200,17.7,11.7,14.3,"west"
"94",8005,26.43221448,7.649946176,0.09252871,0.153200417,0.0506147,0.678300552,58719,232300,19.1,5.7,5.8,"southwest"
"95",8013,25.42774314,6.39072779,0.007730369,0.108604781,0.04031698,0.824500783,64839,353300,7.2,5,NA,"southwest"
"96",8031,26.12231236,7.884821183,0.092723254,0.265407559,0.033816866,0.583111296,45501,240900,20.2,6.7,7.5,"southwest"
"97",8035,26.13378188,5.438596106,0.011629958,0.064589601,0.036991126,0.870085108,99198,338700,14.2,4.8,NA,"southwest"
"98",8041,26.84320639,6.187395,0.056398462,0.125741155,0.028338487,0.756146279,56268,216800,13.3,6.8,6.8,"southwest"
"99",8059,26.2421201,6.690557489,0.009014257,0.120572002,0.025100312,0.82748229,66075,259300,17.3,5.5,6,"southwest"
"100",8067,27.2758908,4.208240216,0.00352751,0.100803488,0.005364754,0.825216795,56422,343400,10.1,2.6,NA,"southwest"
"101",8069,26.14277564,6.461789,0.007233427,0.086121924,0.018384959,0.869747382,56447,246000,8.4,5.7,6.5,"southwest"
"102",8077,27.52356216,8.99916,0.005115591,0.109272231,0.007468406,0.858563713,52067,221000,19.8,4,5.5,"southwest"
"103",8083,26.13116742,5.923729,0.001586814,0.091011466,0.004248567,0.791205979,44103,191500,23.2,4.9,10.7,"southwest"
"104",8101,28.13818324,6.244628,0.017353597,0.372182641,0.007390885,0.583630189,40699,140700,21.7,7.4,9.1,"southwest"
"105",8119,26.05685598,6.187395,0.004631125,0.044803446,0.006408185,0.921540118,58080,226000,16.6,7.7,7.6,"southwest"
"106",8123,27.35982535,7.27541,0.008441872,0.240439854,0.01203789,0.720228698,55596,195700,16.9,5.2,5.5,"southwest"
"107",9001,26.04418888,8.886288272,0.098577869,0.156780853,0.045239994,0.682148708,81268,477700,NA,7.2,NA,"northeast"
"108",9003,27.57220255,8.068286772,0.117302032,0.130080829,0.039956752,0.697764109,62590,247400,15.8,7.2,7.3,"northeast"
"109",9005,26.4466243,6.191306788,0.011324048,0.03573754,0.013854674,0.928605471,69639,285800,11.4,5.6,6.1,"northeast"
"110",9007,26.59240285,8.548033171,0.041951937,0.038138124,0.024697882,0.881856055,74906,307400,9.7,4.5,5.6,"northeast"
"111",9009,27.28534926,8.929961766,0.109647007,0.125649922,0.033780282,0.714943772,61114,273300,13.5,7,7.8,"northeast"
"112",9011,27.86254689,7.767222,0.051343865,0.069865147,0.040399896,0.811187376,65419,268900,12.9,5.7,5.4,"northeast"
"113",9013,26.96567298,8.408427734,0.032198478,0.037904226,0.033462773,0.883167634,77175,266100,6.5,4.9,5.3,"northeast"
"114",9015,27.95560858,7.767222,0.017112044,0.076308408,0.011578352,0.879204627,59370,230100,14.6,6.7,9.1,"northeast"
"115",10001,28.32639677,9.571145386,0.22430719,0.047289041,0.020946273,0.682402342,53183,207500,17.3,5.8,7.9,"northeast"
"116",10003,27.27071291,10.19437175,0.217660861,0.072249637,0.042747944,0.652114175,62474,252800,16.1,5.8,6.4,"northeast"
"117",10005,28.00435756,9.799307478,0.112555631,0.066960813,0.009187824,0.796018822,51046,243700,26,6.9,6.6,"northeast"
"118",11001,26.81195203,10.70770482,0.469645124,0.085261166,0.038372316,0.383170163,58526,443300,NA,8.6,NA,NA
"119",12001,26.63271372,7.844702804,0.177290434,0.082457117,0.055232429,0.664611354,40644,189600,5.6,6.1,5.6,"southeast"
"120",12007,27.71318108,7.844395017,0.20576797,0.035787634,0.005112519,0.741140485,41126,120500,29.6,9.9,9.5,"southeast"
"121",12009,28.13023414,6.866667,0.086738277,0.069962588,0.02067066,0.80415433,49523,186900,17.7,8.2,7.9,"southeast"
"122",12011,27.76088614,6.752652408,0.23484485,0.241029633,0.031747225,0.471160161,51694,247500,19.4,8.3,7.9,"southeast"
"123",12015,26.38319612,6.966942,0.048840263,0.046659373,0.010999271,0.88218089,45037,184900,18.3,10.1,10.9,"southeast"
"124",12017,27.14025504,7.626957,0.023257771,0.03932953,0.013429596,0.912051295,37933,141800,25.8,9.4,12.8,"southeast"
"125",12019,27.56838102,8.214804,0.087352074,0.066135968,0.029290309,0.797292015,61185,189700,19.1,6.7,7.8,"southeast"
"126",12031,27.66385377,9.205802017,0.265857383,0.068582775,0.041353071,0.60353175,49463,175900,17.2,7.6,8.3,"southeast"
"127",12033,27.87713836,9.057724,0.202835543,0.04320562,0.028441094,0.69621999,43573,148600,14.7,9.1,9.3,"southeast"
"128",12035,28.09593223,7.540171,0.098904253,0.075828333,0.02104096,0.789720845,48090,219100,18.4,8.1,8.3,"southeast"
"129",12039,29.36145193,9.727869,0.530837881,0.075687813,0.005286494,0.378552751,NA,104500,35.9,8.4,11.4,"southeast"
"130",12041,27.41611173,7.851932898,0.053351368,0.043282236,0.003681996,0.886834986,37039,112700,30.2,14.2,12.1,"southeast"
"131",12057,27.5464908,8.125106688,0.143811135,0.22959451,0.03401004,0.574545089,49536,198900,17.1,8,8.1,"southeast"
"132",12061,27.44482342,7.300888338,0.073530461,0.091910846,0.011831257,0.812413005,47341,198200,24.7,9.1,11.9,"southeast"
"133",12069,28.06359828,7.503847653,0.082550327,0.099965577,0.015974604,0.784438467,46477,178400,25.1,7,7.3,"southeast"
"134",12071,26.9895933,6.966942,0.064494813,0.152589453,0.012882493,0.75800235,50014,210600,23.1,8.1,9.8,"southeast"
"135",12073,27.21713906,9.727869,0.281074785,0.054615058,0.028052403,0.618556841,44490,196700,6.1,7.1,6.5,"southeast"
"136",12075,28.04711952,7.626957,0.084079324,0.064124083,0.005967922,0.830691284,35737,112100,26.6,10.8,9,"southeast"
"137",12081,27.11979918,7.052586,0.071943091,0.117626194,0.015626584,0.783640616,47812,214000,25.2,7.5,8.8,"southeast"
"138",12085,26.59524996,6.889865977,0.047357595,0.097841953,0.009770096,0.835907176,53210,254900,24.2,7.7,9.2,"southeast"
"139",12086,27.626847,6.805787757,0.157808425,0.66386546,0.015139639,0.153146013,43605,269600,19,8.3,7.6,"southeast"
"140",12087,26.06245516,6.66044,0.047222535,0.184203321,0.010259466,0.743223437,53821,503900,NA,4.6,NA,"southeast"
"141",12089,27.00804082,8.910500284,0.060946075,0.028469379,0.008781253,0.88843976,58712,213600,19.6,7.6,7.2,"southeast"
"142",12095,27.51303394,7.469854547,0.180123748,0.251521736,0.05009083,0.495026884,50138,228600,15.5,7.7,8.7,"southeast"
"143",12099,26.7469919,6.265644753,0.146713912,0.171372176,0.022478002,0.645490606,53242,261900,23.6,8,8.4,"southeast"
"144",12101,28.28913679,8.150284,0.036402967,0.098395626,0.01958626,0.831502442,44228,157400,21.8,8,9.6,"southeast"
"145",12103,27.53532402,7.919101309,0.086639227,0.067773806,0.02767583,0.802803408,45258,185700,16.8,6.4,7.8,"southeast"
"146",12105,29.13634032,7.73,0.128052237,0.148634001,0.015941906,0.693224201,43946,141900,24.2,8.1,8.7,"southeast"
"147",12109,26.99487097,8.214804,0.050530823,0.045735628,0.019016609,0.871295866,62663,294100,17.2,5.9,NA,"southeast"
"148",12111,28.35474321,7.605217,0.164087663,0.140637962,0.01496888,0.66419657,45196,177200,25.8,11.4,10.5,"southeast"
"149",12113,27.69464036,9.057724,0.053228902,0.036878164,0.018842858,0.863376258,55129,182300,19.4,8,8.5,"southeast"
"150",12115,26.26903567,7.052586,0.037442957,0.0651991,0.011622924,0.875910582,49388,235100,20.1,8.2,9.1,"southeast"
"151",12117,27.74219203,7.558695129,0.098458854,0.157128068,0.036075776,0.690539017,58971,241000,14.7,6,7.3,"southeast"
"152",12125,29.56285591,7.844889434,0.238562874,0.045588822,0.002235529,0.703393214,41794,115100,32.9,9.3,8.4,"southeast"
"153",12127,27.75347302,7.552872426,0.091438254,0.093932523,0.014711452,0.786113326,44400,186300,15.4,6.5,8.1,"southeast"
"154",12129,28.97300047,9.727869,0.153871955,0.031025953,0.005366651,0.792251897,53301,143500,31.5,6.2,5.9,"southeast"
"155",13009,31.28160201,13.11647771,0.381038797,0.018614754,0.013280541,0.577552311,37237,112500,19.4,6.8,7,"southeast"
"156",13011,27.33293642,11.39009,0.023705643,0.044720768,0.008435137,0.911212914,40455,146800,27.9,7.1,6.5,"southeast"
"157",13013,29.9693363,11.73948376,0.108602194,0.072582265,0.03023424,0.775583591,48958,138900,26.4,9.6,9.5,"southeast"
"158",13015,26.10863461,11.9402821,0.095900868,0.061425631,0.007102253,0.82247093,49216,146800,28.5,7.2,6.2,"southeast"
"159",13021,28.06721832,13.32785387,0.482647191,0.024682053,0.01641716,0.464696607,NA,118100,26.5,7.7,9.8,"southeast"
"160",13027,32.94782073,9.917308,0.330267086,0.044621964,0.003066247,0.610344549,41309,93000,30.3,7.7,4.1,"southeast"
"161",13029,24.9432751,10.54787901,0.132718937,0.036349177,0.015437874,0.79949476,63244,187400,22.2,5.2,5.4,"southeast"
"162",13033,27.10207207,12.50354,0.463630387,0.024744486,0.00340685,0.498475883,33155,77000,31.3,7.8,6,"southeast"
"163",13039,28.6073593,10.676923,0.181302732,0.044003147,0.01489379,0.738721142,49230,161900,17.1,10.1,7.9,"southeast"
"164",13045,28.28477597,11.2625,0.174192687,0.051672876,0.007475456,0.753225004,45559,139900,21,9.9,9.2,"southeast"
