ent,Date,pm25,bc,Sodium,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Br,Ba,Pb
2435,8/31/04,5.6,0.69967014,0.0826,0.0349,0.0368,0.5192,0.0014,0.0147,0.0164,0.0011,9.00E-04,0,0,0.0413,5.00E-04,0,0.0042,0,0,0,0.017,0.0031
2436,9/1/04,,0.92343056,,,,,,,,,,,,,,,,,,,,
2437,9/2/04,4.6,0.5834184,0.1747,0.0372,0.0491,0.2676,8.00E-04,0.0196,0.0238,0.0027,0.0021,1.00E-04,9.00E-04,0.0546,9.00E-04,0,0.004,0,0,7.00E-04,0.0042,0.0031
2438,9/3/04,10.7,0.57304861,0.2185,0.0422,0.0382,1.2762,0.0014,0.0308,0.0202,0.003,0.0024,1.00E-04,0,0.0542,0.0021,0.0074,0.005,3.00E-04,0,0.0014,0.0086,0.0073
2439,9/4/04,7.3,0.55010799,0.2445,0.0223,0.0294,0.9949,0.0018,0.0225,0.0168,0.0014,0.002,0,0,0.0284,0.0011,0.0029,0.0032,1.00E-04,0,0,3.00E-04,0.0019
2440,9/5/04,3.5,0.13992847,0.2096,0.0118,0.0043,0.1793,0.0726,0.0158,0.0135,0.0012,0.0022,4.00E-04,0,0.0319,0.0011,0.0038,0,0,0,0.0024,0,0.0031
2441,9/6/04,,0.43836667,,,,,,,,,,,,,,,,,,,,
2442,9/7/04,,0.65603299,,,,,,,,,,,,,,,,,,,,
2443,9/8/04,,1.23850625,,,,,,,,,,,,,,,,,,,,
2444,9/9/04,,1.22433125,,,,,,,,,,,,,,,,,,,,
2445,9/10/04,3.9,0.34369792,0.037,0.0295,0.0262,0.3939,6.00E-04,0.028,0.0143,0.0013,0.0016,1.00E-04,0,0.0414,0.0013,0.0028,0.0021,9.00E-04,0,0,0.0149,0.0038
2446,9/11/04,7,0.6318941,0.1632,0.0553,0.0847,0.4662,0.0018,0.0415,0.0472,0.0038,0.0099,0,0,0.1019,0.0058,0.0054,0.0096,0.0011,0,0,5.00E-04,0.005
2447,9/12/04,9.1,0.80655278,0.1105,0.0433,0.0332,1.0532,0.002,0.0243,0.014,0.0019,0.0022,8.00E-04,0,0.0519,9.00E-04,8.00E-04,0.0071,4.00E-04,0,0,0.0117,0.0058
2448,9/13/04,10.8,0.96164826,0.2475,0.0583,0.0523,1.3915,0.0025,0.029,0.0362,0.0027,0.0029,2.00E-04,0,0.0644,9.00E-04,0.0054,0.012,0,0,0.0023,6.00E-04,0.0051
2449,9/14/04,2.8,0.65091285,0.0721,0.0307,0.0347,0.1493,0.0013,0.0153,0.0186,0.0012,9.00E-04,6.00E-04,1.00E-04,0.0536,0.0011,0.0056,0.0038,6.00E-04,0,0,0,0.0076
2450,9/15/04,4.4,0.65990972,0.1825,0.0352,0.0703,0.3033,0.002,0.0179,0.0216,0.0031,0.0028,7.00E-04,0,0.0585,0.0014,0.0036,0.0064,5.00E-04,0,0.0017,2.00E-04,0.0078
2451,9/16/04,12.8,1.27325694,0.1357,0.0436,0.033,1.6788,0.0013,0.0147,0.0303,0.0052,0.0024,7.00E-04,0.0021,0.0962,0.0032,0.0041,0.0123,0,0,0.0016,0.0111,0.0062
2452,9/17/04,,1.28474132,,,,,,,,,,,,,,,,,,,,
2453,9/18/04,,0.47352431,,,,,,,,,,,,,,,,,,,,
2454,9/19/04,,0.18348264,,,,,,,,,,,,,,,,,,,,
2455,9/20/04,,0.47738125,,,,,,,,,,,,,,,,,,,,
2456,9/21/04,,0.53644792,,,,,,,,,,,,,,,,,,,,
2457,9/22/04,,0.92641146,,,,,,,,,,,,,,,,,,,,
2458,9/23/04,,0.80552882,,,,,,,,,,,,,,,,,,,,
2459,9/24/04,7.7,1.36745312,0.1593,0.0486,0.0701,0.8332,0.001,0.0254,0.024,0.0057,0.0025,0.0014,0,0.0889,0.0025,0.0016,0.0092,7.00E-04,0,0,0,0.0026
2460,9/25/04,14.8,0.66000347,0.2001,0.0669,0.062,2.1328,0.0017,0.0391,0.0232,0.0033,0.0032,4.00E-04,0.0038,0.0725,0.0044,0.0031,0.013,0.0016,0.003,0,0.016,0.0091
2461,9/26/04,7.9,0.62672847,0.0834,0.0363,0.0467,0.934,0.0013,0.0238,0.0209,0.0021,0.0016,0,0,0.0863,9.00E-04,0.0016,0.0062,0.0012,0,0,0.0098,0.0089
2462,9/27/04,13.8,1.41105556,0.1853,0.0505,0.0731,1.6822,0.0032,0.0306,0.041,0.0052,0.0065,1.00E-04,2.00E-04,0.1072,0.0032,0.0039,0.0127,0.001,8.00E-04,4.00E-04,0.037,0.0067
2463,9/28/04,16.7,2.02157639,0.1777,0.0525,0.1637,2.5154,0.0066,0.0369,0.0565,0.0052,0.0109,9.00E-04,0.0017,0.08,0.0113,0.0048,0.0294,0,0,0.0025,0.0101,0.0118
2464,9/29/04,4.3,0.50259132,0.1408,0.0228,0.033,0.3761,0.0031,0.0201,0.0282,0.0025,0.005,2.00E-04,0,0.0565,0.0032,0.001,0.0098,0,9.00E-04,0,0.0057,0.0014
2465,9/30/04,7.9,1.11980556,0.0682,0.0295,0.0612,0.6836,0.0012,0.0231,0.0238,0.0046,0.0031,3.00E-04,0,0.0974,0.0026,0.004,0.0116,0.0037,0.0021,0,0.0059,0.0114
2466,10/1/04,10.5,1.26698437,0.1777,0.0353,0.0596,1.0453,0.0021,0.0234,0.0278,0.0035,0.0046,0.0011,0,0.0926,0.0027,0.0018,0.0106,8.00E-04,0,0,0.0196,0.0061
2467,10/2/04,10.1,0.82425174,0.153,0.0189,0.0156,1.6496,0.0011,0.0178,0.0102,0.0018,0.0035,7.00E-04,5.00E-04,0.0366,0.0022,2.00E-04,0.006,4.00E-04,0.0022,0.0013,0,0.007
2468,10/3/04,4.7,0.38456146,0.0678,0.0273,0.0384,0.4968,0.0024,0.0191,0.015,0.0015,0.0047,0,0,0.0636,0.0025,0.003,0.0051,0,0,0,0.0021,0.0044
2469,10/4/04,6.8,0.75931424,0.1639,0.0274,0.0474,0.9595,0.0011,0.0181,0.0161,0.0017,0.001,0,0.0017,0.0446,0.0021,0.0043,0.0084,0,0,0.0014,0.0031,0.0055
2470,10/5/04,5.5,0.33810069,0.0915,0.0296,0.0374,0.5983,0.0014,0.0197,0.029,0.0037,0.003,5.00E-04,0,0.0603,0.0027,0.0044,0.0085,0.0013,0,0,0.0073,0.0052
2471,10/6/04,6.1,0.69522674,0.1555,0.0337,0.0483,0.5949,8.00E-04,0.0191,0.0174,0.003,0.0024,3.00E-04,0,0.0584,0.0016,6.00E-04,0.0092,0.0013,0,0.0012,0.0116,0.007
2472,10/7/04,12.8,1.13676042,0.0882,0.0654,0.1201,1.3035,0.0044,0.045,0.046,0.0047,0.0045,9.00E-04,0.0019,0.1419,0.0024,0.0043,0.0253,0.002,0,0,0.0213,0.0124
2473,10/8/04,16.8,1.36091667,0.1821,0.0723,0.0925,2.2185,0.0018,0.0426,0.0649,0.005,0.0071,0.0012,0.0015,0.1069,0.0045,0.0051,0.0218,0.001,0,0,0.005,0.0115
2474,10/9/04,10.4,0.694375,0.1426,0.0643,0.077,1.4533,0.0022,0.0317,0.0253,0.0015,0.0039,5.00E-04,0,0.0457,0.0018,0.0043,0.0104,0,0,0,0.0111,0.0021
2475,10/10/04,3.3,0.33187674,0.1154,0.0189,0.0315,0.4822,0.001,0.0149,0.0088,0.0018,0.0012,2.00E-04,0,0.0264,3.00E-04,0,0.0016,5.00E-04,8.00E-04,0,0,0.0129
2476,10/11/04,2.7,0.21826736,0.0126,0.0198,0.0326,0.2861,0,0.0114,0.0162,0.0016,7.00E-04,5.00E-04,0,0.0237,0,0.0023,0.0098,0,0,2.00E-04,0.008,8.00E-04
2477,10/12/04,4.3,0.28648611,0.0794,0.0344,0.059,0.4847,6.00E-04,0.0203,0.0231,0.0031,0.0011,6.00E-04,0,0.0366,6.00E-04,8.00E-04,0.0122,0,0,0,0.0188,0.0095
2478,10/13/04,7.6,0.75929931,0.065,0.0784,0.1272,0.483,0.0043,0.039,0.0434,0.0066,0.0059,0,0,0.157,0.0031,0.0074,0.0134,0.0014,0,0,0.0018,0.0023
2479,10/14/04,7.3,1.9409809,0.0943,0.0248,0.0548,0.6655,0.0031,0.025,0.0373,0.0027,0.0094,0,0,0.0798,0.0039,0.0035,0.0187,0,0,8.00E-04,0.0112,0.0064
2480,10/15/04,7.3,0.94966319,0.1337,0.0449,0.0447,0.8623,0.0016,0.0144,0.0142,0.0015,0.0054,0,3.00E-04,0.0479,0.0016,0.0018,0.0057,0,0,0,0.0133,0.0024
2481,10/16/04,7.8,0.64221354,0.1539,0.0933,0.1793,1.1025,5.00E-04,0.04,0.0268,0.0027,0.0017,4.00E-04,0,0.0612,3.00E-04,0.0016,0.0053,9.00E-04,0,0,0.0024,0.0046
2482,10/17/04,6.1,0.28265521,0.157,0.0319,0.0415,1.005,0.0019,0.0294,0.0139,0.0026,1.00E-04,0,0,0.0388,2.00E-04,0.0031,0.0077,0,0,6.00E-04,0.0044,0.0063
2483,10/18/04,4.7,0.35745063,0.1064,0.042,0.033,0.513,0.0011,0.0165,0.0249,0.0023,0.0034,0,0,0.0518,0.0028,0.0044,0.0066,0,0,0,0,0.0046
2484,10/19/04,5.3,0.53119076,0.2109,0.0199,0.036,0.6039,0.0128,0.0263,0.0514,0.002,0.0072,8.00E-04,0.003,0.0703,0.0047,0.0022,0.0309,0,0,7.00E-04,0.0118,0.0014
2485,10/20/04,6.1,,0.2159,0.0323,0.0323,0.5572,0.0064,0.036,0.0412,0.0023,0.0061,0.0012,0.001,0.0625,0.0047,0,0.0226,5.00E-04,0,0,0,0.0031
2486,10/21/04,5,0.65589493,0.2106,0.0178,0.0371,0.412,0.005,0.026,0.0301,0.002,0.0043,0.0014,0.003,0.0619,0.002,0.0026,0.0133,0.0014,0,9.00E-04,0.005,0.0095
2487,10/22/04,4.1,0.43513194,0.2854,0.0281,0.0338,0.3714,0.0653,0.0266,0.0246,0.0028,0.0014,3.00E-04,3.00E-04,0.0397,9.00E-04,1.00E-04,0.0089,0,0,8.00E-04,0.0106,0.0044
2488,10/23/04,4.3,0.26789236,0.3781,0.0259,0.0367,0.5369,0.0618,0.0275,0.0371,0.0027,0.0041,4.00E-04,0,0.0315,3.00E-04,0.0061,0.0068,0.0014,0,0.0014,0.0274,0.0056
2489,10/24/04,6.6,0.282875,0.3377,0.0255,0.0148,1.0322,0.0072,0.0307,0.0205,2.00E-04,0.0037,0,0,0.0237,0.0017,0.0019,0.0055,6.00E-04,0,0,0.0118,0.003
2490,10/25/04,,0.55328125,,,,,,,,,,,,,,,,,,,,
2491,10/26/04,10.5,0.77706424,0.2269,0.0218,0.0547,1.1859,0.0081,0.049,0.0355,0.0078,0.005,5.00E-04,0,0.1031,0.0015,0.0041,0.0129,0.0017,0,0.0017,0.0154,0.0079
2492,10/27/04,6.7,0.77358611,0.1236,0.0467,0.0646,0.766,8.00E-04,0.0553,0.0355,0.0085,0.0039,6.00E-04,0.0028,0.0961,0.0024,7.00E-04,0.0162,0.0016,6.00E-04,0,0.0071,0.006
2493,10/28/04,6.5,0.53329687,0.1655,0.0627,0.1101,0.4706,0.0023,0.0398,0.0463,0.0039,0.0041,0,0,0.1203,0.0033,0.0104,0.0133,0,0,0,0,0.0041
2494,10/29/04,13.9,0.91023333,0.1789,0.0544,0.0944,1.1173,0.0098,0.0605,0.0399,0.0081,0.0076,8.00E-04,0,0.1421,0.0045,0.0074,0.0242,0.0023,0,0.0035,0.0129,0.0126
2495,10/30/04,10.9,1.48509375,0.2066,0.0337,0.0142,1.5265,0.0023,0.0285,0.016,0.0024,0.0044,4.00E-04,0,0.0349,0.0022,0.0012,0.0071,0.0012,0,8.00E-04,0,0.0049
2496,10/31/04,4.8,0.41332867,0.1464,0.0238,0.0337,0.8045,0,0.0152,0.0162,0.0011,3.00E-04,6.00E-04,0,0.0435,0.001,1.00E-04,0.0028,0,0,0.0022,0.006,0.0052
2497,11/1/04,4.5,0.31034896,0.117,0.0583,0.1999,0.5351,0.0087,0.0291,0.053,0.004,0.0052,6.00E-04,0.0021,0.0583,0.0044,0.0061,0.0399,4.00E-04,0,0.0012,0.0194,0.008
2498,11/2/04,4.2,0.7376969,0.2179,0.0275,0.0364,0.422,0.0024,0.0155,0.0291,0.0014,0.0025,6.00E-04,0,0.0487,0.0033,0.008,0.01,0.0012,0,0,4.00E-04,0.003
2499,11/3/04,3.7,0.27966273,0.0971,0.0348,0.0381,0.4482,5.00E-04,0.0162,0.032,0.0017,0.0019,2.00E-04,0,0.0375,0.0015,0.0027,0.0063,7.00E-04,0,0.0016,0.0129,0.0047
2500,11/4/04,4.6,0.64288889,0.0938,0.0277,0.0437,0.502,0.001,0.022,0.0255,0.003,0.003,3.00E-04,0,0.0467,0.0022,0.0043,0.0081,0,0,0,0.0033,0.0035
2501,11/5/04,2.9,0.23623715,0,0.0211,0.0362,0.3612,3.00E-04,0.023,0.0159,0.0021,6.00E-04,1.00E-04,0,0.0233,2.00E-04,0,0.0013,0,0,0,0.0186,0.0019
2502,11/6/04,9.2,0.39351042,0.1236,0.0596,0.1009,0.8629,0.0037,0.0768,0.0433,0.0034,0.0018,4.00E-04,0,0.0708,0.0031,0.0011,0.0125,0,5.00E-04,0.0013,0.0234,0.0061
2503,11/7/04,8.1,0.44246736,0.1342,0.0509,0.0645,0.8967,0.0018,0.0591,0.0342,0.0024,0.0019,0.0013,6.00E-04,0.051,0.0012,0.0042,0.0139,0.0012,0,1.00E-04,0.0277,0.0089
2504,11/8/04,3.3,0.34611944,0.0622,0.0249,0.0505,0.328,5.00E-04,0.0165,0.0343,0.0011,0.0016,4.00E-04,2.00E-04,0.0366,7.00E-04,0,0.0045,0,0,0,0,0.0024
2505,11/9/04,,0.34669028,,,,,,,,,,,,,,,,,,,,
2506,11/10/04,7.4,0.51994167,0.143,0.0578,0.0673,0.6142,0.0019,0.0337,0.0336,0.0044,0.005,1.00E-04,0,0.069,0.0029,0.0037,0.0148,0,0,0,0.0065,0.0072
2507,11/11/04,7.5,0.52666493,0.1738,0.0517,0.0849,0.9158,0.0048,0.0422,0.0377,0.0023,0.005,1.00E-04,5.00E-04,0.0657,0.0051,0.0021,0.0113,0,0,0,0,0.0059
2508,11/12/04,6.1,0.59562118,0.1427,0.0345,0.0434,0.5636,0.0019,0.0347,0.0289,9.00E-04,0.0085,0,0,0.0406,0.0073,0.001,0.0129,0,0,0,0.0108,0.0055
2509,11/13/04,4.9,0.29170729,0.1244,0.0251,0.0314,0.601,0.0042,0.0379,0.0279,0.0012,0.0067,2.00E-04,0.0017,0.0342,0.0043,0.0032,0.011,8.00E-04,0,2.00E-04,0.0143,0.0043
2510,11/14/04,8,0.48542361,0.0686,0.0311,0.0402,0.7303,0.0024,0.0475,0.0207,0.0018,0.0026,6.00E-04,1.00E-04,0.0415,0.0013,0.0028,0.0092,0,0,0.0017,0,0.0069
2511,11/15/04,10.2,1.08970069,0.1514,0.0633,0.1174,1.0032,0.0064,0.0587,0.0758,0.0045,0.006,0,0,0.1159,0.0033,0.0049,0.0221,0,0.0019,0.0013,0.0111,0.0036
2512,11/16/04,19.8,1.35732118,0.2823,0.0724,0.111,1.6112,0.0163,0.1038,0.1017,0.0077,0.0152,7.00E-04,0.0016,0.1972,0.0119,0.0086,0.0429,0.0015,0,0.0044,0.002,0.0113
2513,11/17/04,17,1.93033646,0.2012,0.0793,0.1694,1.4737,0.0063,0.0978,0.0573,0.0078,0.0096,9.00E-04,0.0015,0.1799,0.0063,0.0062,0.031,0.0027,0.0014,0.0032,0.0024,0.0118
2514,11/18/04,13.3,1.44668819,0.2276,0.0809,0.1266,1.367,0.0094,0.0682,0.0449,0.0059,0.0068,0.0013,0.0029,0.1585,0.0041,0.0062,0.0278,0,2.00E-04,9.00E-04,0.0095,0.0079
2515,11/19/04,8.1,0.89108854,0.1233,0.0379,0.0607,0.8704,0.0016,0.0494,0.0414,0.0021,0.0067,0,0,0.0662,0.0035,0.0054,0.0146,0.0011,0,0,0.006,0.0027
2516,11/20/04,5,0.53435972,0.1132,0.0269,0.0363,0.4421,0.0025,0.0349,0.0204,0.003,0.0019,4.00E-04,0,0.0483,9.00E-04,0,0.0108,7.00E-04,0,6.00E-04,0,0.0054
2517,11/21/04,10.6,0.35866319,0.1606,0.0236,0.0148,1.1163,0.003,0.0293,0.0087,2.00E-04,0.0025,4.00E-04,0,0.0254,3.00E-04,0.0014,0.0097,0.001,0,0,0.0067,0.0057
2518,11/22/04,13.4,0.80267465,0.14,0.0535,0.0776,1.3531,0.0029,0.0527,0.0388,0.0067,0.0035,3.00E-04,0,0.1475,0.0029,0.0058,0.0191,0.0017,0,0.001,0.0214,0.0086
2519,11/23/04,12.7,1.71725868,0.135,0.0432,0.0713,0.9977,0.0043,0.0428,0.0474,0.004,0.0057,7.00E-04,0.0033,0.1282,0.004,0.002,0.0186,0,0,0.0016,0.0104,0.007
2520,11/24/04,5.6,0.94141493,0.3824,0.0233,0.0299,0.6886,0.0023,0.0306,0.0337,0.0013,0.004,0.001,0,0.0599,0.0015,0.0039,0.0081,0,0,0,0.0085,0.007
2521,11/25/04,2.7,0.19416042,0.1391,0.0271,0.0173,0.3846,0.0013,0.0151,0.0098,6.00E-04,7.00E-04,3.00E-04,0,0.0106,9.00E-04,0.001,0.0023,0,0,2.00E-04,0.0068,0.0047
2522,11/26/04,10,0.36412708,0.1121,0.039,0.0355,0.9548,0.002,0.049,0.0195,0.0014,0.002,3.00E-04,5.00E-04,0.0485,0.0019,0.0032,0.0123,0.0016,0,0,0.0135,0.0059
2523,11/27/04,6.3,0.58977431,0.297,0.0209,0.0333,0.6268,0.0042,0.0292,0.022,0.0021,0.0024,3.00E-04,5.00E-04,0.0455,0.002,0.0024,0.0099,0.0016,0.0012,0.0018,0,0.006
2524,11/28/04,4.2,0.13720833,0.5115,0.0173,0.019,0.4504,0.2505,0.0196,0.022,0.0021,0.0019,3.00E-04,0,0.0232,0.0015,0.0027,0.0016,4.00E-04,0,0,0.0069,0.0031
2525,11/29/04,7.1,0.37606076,0.1645,0.0555,0.0616,0.9364,0.0017,0.0303,0.0388,0.0025,0.0075,2.00E-04,0,0.0671,0.009,0.0028,0.0126,5.00E-04,0,0,0.0035,0.0066
2526,11/30/04,8,0.83420833,0.1784,0.047,0.0502,0.7753,0.0056,0.0346,0.0289,0.0056,0.0049,0.001,0,0.0991,0.002,6.00E-04,0.0127,0.0011,0,0,0.004,0.003
2527,12/1/04,3.2,0.2697,0.1405,0.0239,0.0462,0.4542,1.00E-04,0.0134,0.0139,0.0016,0.001,8.00E-04,0,0.0235,0,0,0.0058,0,0,0,0.0102,0.0037
2528,12/2/04,,0.50281632,,,,,,,,,,,,,,,,,,,,
2529,12/3/04,7.6,1.00421597,0.0648,0.0277,0.0441,0.9503,0,0.0291,0.0251,0.0036,0.0022,6.00E-04,2.00E-04,0.0442,0.0026,0,0.0095,4.00E-04,0,0,0.0092,0.0056
2530,12/4/04,12.6,0.40103993,0.0979,0.0435,0.0605,0.8693,0.0021,0.0386,0.0262,0.0021,0.0037,6.00E-04,0,0.0537,0.004,0.0026,0.013,3.00E-04,0,0,0.0142,0.008
2531,12/5/04,4.6,0.28213576,0.1498,0.0293,0.0508,0.6428,0.0011,0.0241,0.0193,0.0021,0.0054,8.00E-04,0,0.0406,0.0052,0.0036,0.006,0.0015,0,8.00E-04,0,0.0053
2532,12/6/04,9.2,0.72729062,0.1612,0.0445,0.0697,0.6417,0.0053,0.0339,0.0431,0.0036,0.0081,0.001,0.0012,0.0945,0.0088,0.0049,0.0188,0,0,0.0016,0.001,0.0066
2533,12/7/04,,0.55199826,,,,,,,,,,,,,,,,,,,,
2534,12/8/04,5.6,0.39091319,0.1381,0.0237,0.0249,0.9511,6.00E-04,0.0143,0.0125,0.0021,0.0021,6.00E-04,0.001,0.024,8.00E-04,0.0016,0.0047,0.0015,0,0,0.0101,0.0048
2535,12/9/04,7.6,0.64614757,0.2239,0.0456,0.0379,1.0907,0.0023,0.0216,0.0278,0.0027,0.0031,0,0,0.0805,0.0027,0.0027,0.01,0,0,0.0012,0.0035,0.0095
2536,12/10/04,3.3,0.52196528,0.0913,0.0448,0.031,0.4452,0.0018,0.0069,0.0167,0.0013,0.0064,0,0,0.0283,0.0108,0.0029,0.0052,3.00E-04,0,0.0012,0,0.003
2537,12/11/04,9.8,0.84836806,0.1947,0.0266,0.0148,1.2175,0.0022,0.0214,0.0141,0.0021,0.0041,0.0012,0,0.047,0.0036,0.0024,0.0084,0.0015,0,0,0.0024,0.0024
2538,12/12/04,6.6,0.35565833,0.0576,0.023,0.0332,0.8648,0.001,0.0247,0.0122,0.003,0.0041,0,0,0.0384,0.0039,0,0.0092,3.00E-04,0,0,0,0.0041
2539,12/13/04,6.3,0.61829167,0.1137,0.0306,0.0516,0.808,5.00E-04,0.0209,0.0156,0.0023,0.0023,4.00E-04,0,0.0399,0.0036,0,0.007,0,0,0,0,0.0023
2540,12/14/04,4.5,0.30037708,0.2634,0.0271,0.0293,0.402,0.0017,0.0263,0.0247,8.00E-04,0.0022,4.00E-04,0,0.0236,6.00E-04,0.0035,0.0083,0,0,0,0,0.0028
2541,12/15/04,8.9,0.36337153,0.3006,0.0701,0.1173,0.7652,0.0025,0.0593,0.0278,0.0032,0.0039,9.00E-04,0.0012,0.0665,0.0036,0.005,0.0135,2.00E-04,0,0.0018,0.0017,0.0097
2542,12/16/04,13.1,0.81953472,0.1844,0.0657,0.1141,1.1389,0.0032,0.0535,0.0472,0.005,0.0059,0.0014,0.0013,0.0974,0.0065,0.0052,0.0251,0,0,0.001,0.0276,0.0085
2543,12/17/04,6.1,0.4852644,0.0897,0.0223,0.0565,0.6653,8.00E-04,0.0282,0.0262,0.0022,0.0044,5.00E-04,0,0.0374,0.0039,0.0012,0.0041,0,0,0,0.0218,0.0047
2544,12/18/04,14,0.71878905,0.2337,0.0509,0.0587,1.0748,0.0061,0.072,0.0328,0.0036,0.0067,4.00E-04,0,0.0973,0.0078,0.0035,0.0155,0.0011,0,0.0031,0,0.0086
2545,12/19/04,13.4,0.84206424,0.2292,0.034,0.0356,1.0382,0.0064,0.0548,0.0193,0.001,0.0033,6.00E-04,0,0.0559,0.0037,9.00E-04,0.0118,0,0,0.0016,0.008,0.0045
2546,12/20/04,6.2,0.43835312,0.2164,0.022,0.038,0.4957,0.0073,0.0354,0.0295,8.00E-04,0.0021,0.0011,6.00E-04,0.0236,0.001,0.0013,0.0052,2.00E-04,0,6.00E-04,0.0163,0.006
2547,12/21/04,15.9,0.60876215,0.2922,0.0454,0.062,1.2781,0.0084,0.0674,0.0438,0.0027,0.0084,1.00E-04,7.00E-04,0.0819,0.0082,0.0061,0.0244,0.0011,0,0.0014,0.0183,0.0072
2548,12/22/04,15.3,1.35655903,0.3759,0.0501,0.0835,1.1881,0.0103,0.0746,0.0419,0.0029,0.0071,5.00E-04,0.001,0.0876,0.0063,0.0026,0.0184,0.0016,0.0017,0.0075,0.0162,0.0062
2549,12/23/04,4,0.39228993,0.3291,0.0082,0.0173,0.4228,0.1252,0.0197,0.0191,0.0011,0.001,7.00E-04,0,0.0206,0,0,0.002,7.00E-04,0,0,0.012,0.0055
2550,12/24/04,5.8,0.27278611,0.1244,0.0286,0.0313,0.6506,0.001,0.0305,0.0258,7.00E-04,0.0065,1.00E-04,0.0012,0.0281,0.0067,0,0.0059,0,0,0,0,0.0032
2551,12/25/04,,0.32619653,,,,,,,,,,,,,,,,,,,,
2552,12/26/04,5.7,0.30886875,0.1915,0.0431,0.0463,0.5177,0.0073,0.0563,0.0242,0.0017,0.0049,6.00E-04,0,0.0202,0.0045,0.0056,0.012,0,0,3.00E-04,0.0252,0.0058
2553,12/27/04,4.9,0.29170104,0.1474,0.0422,0.1422,0.5703,0.0076,0.0303,0.0182,0.0025,0.002,5.00E-04,0,0.0187,0.0017,0.0017,0.0381,0,0,0,0,0.0053
2554,12/28/04,9.6,0.48101632,0.161,0.047,0.1227,0.8494,0.0031,0.047,0.0264,0.0032,0.0029,5.00E-04,0,0.0463,0.005,0.0022,0.0259,0.0015,0,0.0015,0,0.0085
2555,12/29/04,18.5,0.80797569,0.1343,0.0522,0.0468,1.7741,0.0032,0.0668,0.0287,0.002,0.007,2.00E-04,0,0.0747,0.0046,0.0054,0.0193,0.001,0,0.0031,0.0058,0.0069
2556,12/30/04,,0.94135,,,,,,,,,,,,,,,,,,,,
2557,12/31/04,15.8,0.59752257,0.4037,0.0452,0.0359,1.9353,0.0032,0.0717,0.0224,0.0018,0.0052,0,0,0.0409,0.0026,0.0031,0.0113,9.00E-04,0,8.00E-04,0.0119,0.0059
2558,1/1/05,5.2,0.43588194,0.1879,0.0376,0.064,0.7953,0.0021,0.03,0.0217,0.0014,0.004,8.00E-04,0,0.0314,0.0055,0.0017,0.0076,9.00E-04,0,0,0,0.0031
2559,1/2/05,5.5,0.24889965,0.3147,0.0148,0.0229,0.5095,0.0051,0.0269,0.0181,0.0019,0.0027,5.00E-04,0,0.0253,0.0026,0,0.0029,0,0,0.0012,0.0022,0.0025
2560,1/3/05,11.4,0.84766493,0.158,0.0337,0.0277,1.1751,0.0027,0.0377,0.017,0.0021,0.0045,4.00E-04,5.00E-04,0.0784,0.0047,0.0052,0.0091,0,0,4.00E-04,0.0146,0.0034
2561,1/4/05,10.1,0.87699236,0.1082,0.0413,0.041,1.002,0.0027,0.0325,0.0259,0.0041,0.005,4.00E-04,0,0.0883,0.0035,0.005,0.0113,0,0,0.0038,0.0119,0.0048
2562,1/5/05,7.9,0.51256528,0.0977,0.0328,0.0312,0.9124,9.00E-04,0.0339,0.0235,0.0019,0.0063,0.0021,0,0.0385,0.0056,9.00E-04,0.0113,0,0,0.0015,0.0093,0.0041
2563,1/6/05,6.9,0.63659375,0.1436,0.0231,0.0275,0.6542,5.00E-04,0.0271,0.0156,0.001,0.0039,4.00E-04,0,0.018,0.002,0.0025,0.0049,7.00E-04,0,0,0.0129,0.0055
2564,1/7/05,9.4,0.65129201,0.1363,0.0323,0.0588,1.0516,0.0032,0.0469,0.0224,0.0023,0.0054,3.00E-04,2.00E-04,0.0701,0.0058,0.0027,0.0101,0.001,0,6.00E-04,0.0041,0.0038
2565,1/8/05,11.9,0.85994861,0.1257,0.0151,0.0245,1.0469,0.0033,0.0658,0.0204,0.002,0.0081,7.00E-04,0,0.0317,0.0102,0.0028,0.0167,0,0,0.0017,0.0181,0.0068
2566,1/9/05,17.6,0.7730875,0.265,0.04,0.0251,1.7765,0.0075,0.0706,0.0239,0.0012,0.0116,0,0,0.049,0.0113,0.0062,0.0153,0,0,0.0015,0,0.0111
2567,1/10/05,10.9,0.67375521,0.1585,0.0394,0.1156,1.8308,0.0029,0.03,0.0235,0.0027,0.0025,0.0015,0,0.0446,0.0028,0.0054,0.0239,8.00E-04,0,0.0012,0.0043,0.0066
2568,1/11/05,7.2,0.40141319,0.2479,0.0526,0.0691,0.5794,0.0019,0.0241,0.0265,0.0029,0.0022,2.00E-04,0,0.0651,0.0021,0.0016,0.0081,0,0,6.00E-04,0.0076,0.0049
2569,1/12/05,7.8,0.52895764,0.1791,0.0294,0.031,0.9527,0.0019,0.0231,0.0195,7.00E-04,0.0083,1.00E-04,0,0.0284,0.0133,0.0011,0.0057,6.00E-04,0,0,0.011,0.0034
2570,1/13/05,12.7,1.1583316,0.4532,0.034,0.0245,1.4867,0.0128,0.0427,0.0282,0.0022,0.0043,0.001,0,0.0735,0.0028,0.0025,0.0258,0,0,0.0021,0,0.0074
