ent,Date,pm25,bc,Sodium,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Br,Ba,Pb
1855,1/29/03,32.4,1.03155556,0.2922,0.0354,0.0495,2.1065,0.0211,0.0905,0.0342,0.0042,0.0129,7.00E-04,0.0028,0.0908,0.0175,0.0059,0.034,0.0012,0,0.0039,0,0.0128
1856,1/30/03,29.9,1.277875,0.3096,0.0472,0.0327,2.2351,0.1512,0.1056,0.0552,0.0049,0.0155,5.00E-04,0.0038,0.1555,0.0172,0.0064,0.0492,0,0,0.0065,0,0.0092
1857,1/31/03,18.3,1.1328941,0.377,0.0362,0.0159,2.3377,0.0058,0.0512,0.0263,0.0022,0.0102,2.00E-04,0,0.0519,0.0043,0.0015,0.0213,0.0012,0,0.0022,0.0067,0.0081
1858,2/1/03,10.3,0.55490451,0.1689,0.0187,0.0112,1.2554,0.0015,0.0301,0.0133,0.002,0.0075,0,0,0.0327,0.0062,0.0016,0.0222,0.0012,0,0.0011,0.0144,0.0055
1859,2/2/03,5.9,0.31360694,0.1544,0.023,0.003,0.8385,0.0022,0.0216,0.0117,0.0015,9.00E-04,1.00E-04,3.00E-04,0.0176,0.0017,0.0055,0.0051,0,0,0.0013,0,0.0017
1860,2/3/03,9.5,0.51509097,0.1637,0.0265,0.042,1.2383,0.0076,0.0297,0.0265,0.0029,0.0031,3.00E-04,0,0.0683,0.0031,0.0039,0.0081,0,0,3.00E-04,0,0.007
1861,2/4/03,9.5,1.5253316,0.2176,0.0195,0.0431,0.8612,0.0031,0.0247,0.0333,0.0025,0.0026,4.00E-04,0,0.0806,0.004,0.0039,0.0203,0,4.00E-04,0,0.0268,0.002
1862,2/5/03,4.1,0.18356528,0.1884,0.038,0.0546,0.4169,7.00E-04,0.0166,0.0185,0.0019,8.00E-04,6.00E-04,0,0.0313,0.0011,3.00E-04,0.0021,0,0,8.00E-04,0,0.0071
1863,2/6/03,11.6,0.41247649,0.1845,0.0459,0.0683,0.9869,0.0016,0.034,0.0222,0.0035,0.0058,0,6.00E-04,0.0666,0.0051,0.0027,0.0094,0,0,1.00E-04,0.0075,0.0073
1864,2/7/03,16.9,1.16052778,0.2204,0.0279,0.0435,1.4704,0.0049,0.0534,0.0247,0.0026,0.0052,4.00E-04,0.0021,0.1438,0.0061,0.0098,0.0325,0.0014,0,0.0015,0.0142,0.0067
1865,2/8/03,15.9,0.36294271,0.1836,0.0215,0.0247,1.1127,0.0013,0.0466,0.0178,0.0018,0.0021,0.001,0,0.04,0.0023,0.0016,0.0117,6.00E-04,0,7.00E-04,0.0073,0.0068
1866,2/9/03,19.7,0.42956597,0.1559,0.0334,0.0381,1.779,0.0036,0.0578,0.0199,0.0016,0.0043,6.00E-04,2.00E-04,0.0547,0.0048,8.00E-04,0.0139,0.0017,0.001,0,0.0102,0.0044
1867,2/10/03,16.4,0.98266699,0.1435,0.0529,0.0361,1.4964,0.0022,0.0368,0.0244,0.0023,0.0042,7.00E-04,3.00E-04,0.0535,0.0027,0.0032,0.0182,0,0,0,0.0228,0.0068
1868,2/11/03,9.3,0.33749861,0.1471,0.0352,0.0488,0.5721,0.0063,0.0307,0.0211,0.0026,0.0035,1.00E-04,6.00E-04,0.0524,0.0021,0.0041,0.0171,0,0,0.001,0.001,0.0112
1869,2/12/03,7.1,0.60646285,0.1498,0.025,0.0491,0.8199,0.0028,0.0296,0.0292,0.0027,0.0027,9.00E-04,0,0.0338,0,0,0.0086,0.0023,0.0014,0.0026,0.0074,0.012
1870,2/13/03,7.8,0.31988542,0.2025,0.0325,0.0746,0.7802,0.0075,0.0435,0.0389,0.004,0.0029,0,0,0.0556,0.0031,0,0.015,8.00E-04,6.00E-04,1.00E-04,0.0136,0.0054
1871,2/14/03,8.7,0.53444097,0.2932,0.0491,0.0495,0.8059,0.0157,0.0406,0.0394,0.0028,0.0056,3.00E-04,0,0.0504,0.0047,0.0034,0.0075,0,0,0,0.0045,0.0086
1872,2/15/03,5.8,0.26612062,0.2291,0.0261,0.0667,0.4312,0.0098,0.0382,0.0254,0.0027,0.003,5.00E-04,0,0.0296,0.0015,0.0023,0.0078,0.0015,0,0.0015,0.0068,0.0084
1873,2/16/03,10.5,0.51769653,0.3119,0.0827,0.086,0.7448,0.015,0.0575,0.027,0.0028,0.0088,5.00E-04,0,0.0605,0.0073,0.0041,0.012,3.00E-04,0,0.002,0,0.0054
1874,2/17/03,7.1,0.6706184,0.2746,0.0261,0.028,0.677,0.0045,0.0391,0.0226,0.0016,0.008,3.00E-04,0,0.0363,0.0067,0.0036,0.0065,0.0015,0,0,0,0.0058
1875,2/18/03,13,0.64273958,0.2777,0.0194,0.0248,1.0317,0.0062,0.0399,0.0198,0.001,0.0097,0,0,0.0279,0.0083,0.0041,0.0081,4.00E-04,0,0.0034,0.0062,0.0084
1876,2/19/03,20.1,1.48851736,0.2794,0.0692,0.034,3.0829,0.0024,0.0517,0.0253,0.0035,0.0071,9.00E-04,0,0.0594,0.006,0.0092,0.0228,0.0016,0,0.0043,0.0292,0.0087
1877,2/20/03,11.4,0.77719479,0.1074,0.0423,0.0457,1.2519,0.0018,0.037,0.0233,0.0029,0.0024,2.00E-04,0,0.0543,5.00E-04,0.0017,0.0112,0.0017,0.0025,2.00E-04,0.0038,0.0094
1878,2/21/03,17.4,0.87285208,0.3375,0.0866,0.1153,1.7453,0.0057,0.0517,0.0384,0.0062,0.0167,7.00E-04,0,0.1163,0.0104,0.0071,0.0234,0.001,0,0.0029,0.0135,0.0129
1879,2/22/03,15.3,1.40349306,0.2304,0.0336,0.0175,1.5681,0.0024,0.0264,0.0224,0.0023,0.0092,9.00E-04,0.0013,0.0501,0.0061,0.0025,0.0118,0,0,0,0.0014,0.0113
1880,2/23/03,5.6,0.31366528,0.1262,0.0313,0.0696,0.7885,0.0015,0.022,0.0141,9.00E-04,0.0025,2.00E-04,0,0.0542,0.001,0.0051,0.0089,7.00E-04,0,0,0,0.0032
1881,2/24/03,9,0.36713819,0.1571,0.0507,0.0662,0.8849,0.0047,0.0327,0.0228,0.003,0.0026,3.00E-04,9.00E-04,0.0488,0.0029,0.0028,0.0093,0,0,0,0.0402,0.0084
1882,2/25/03,5.9,0.38024612,0.1394,0.0768,0.1589,0.6367,0.0119,0.0463,0.0528,0.0055,0.0039,0.0011,0,0.0796,0.0053,0.0038,0.0169,0,0,0.0025,0.0281,0.0069
1883,2/26/03,22.2,0.95056562,0.2769,0.072,0.1378,1.8481,0.016,0.0845,0.0636,0.0047,0.0146,1.00E-04,0.0047,0.1515,0.0122,0.0038,0.0324,0.0026,0,0.0031,0.0207,0.0159
1884,2/27/03,16.5,1.23032465,0.241,0.0602,0.0844,1.4611,0.0043,0.064,0.0356,0.0043,0.0083,5.00E-04,0,0.0823,0.0059,0.0014,0.0211,0,0,0,0.0053,0.0067
1885,2/28/03,20.5,1.25727951,0.2632,0.0442,0.0509,1.7755,0.0071,0.0669,0.0286,0.0023,0.0107,2.00E-04,0,0.0795,0.006,0.0027,0.0177,0.0015,0,0.0019,0.0211,0.0069
1886,3/1/03,14.1,0.85592361,0.2686,0.0467,0.0539,1.8636,0.0031,0.0499,0.0259,0.0018,0.0078,0,0,0.049,0.0037,0.0032,0.0098,0.0013,7.00E-04,0.0012,0.0057,0.0089
1887,3/2/03,10.4,0.64588056,0.2237,0.0302,0.034,1.0309,0.0017,0.0299,0.0196,9.00E-04,0.0028,7.00E-04,0,0.0297,0.0035,0.0045,0.0077,5.00E-04,0,1.00E-04,0.0111,0.008
1888,3/3/03,6.7,0.34221389,0.1313,0.0408,0.0839,0.661,0.0021,0.0422,0.0314,0.0029,0.0022,4.00E-04,3.00E-04,0.0507,0.0016,5.00E-04,0.0106,0.0014,0.0014,0.0029,0.0165,0.0104
1889,3/4/03,10.1,0.43532083,0.2522,0.0506,0.0799,0.9848,0.0029,0.0339,0.0289,0.0014,0.0047,2.00E-04,3.00E-04,0.0523,0.0036,0.0013,0.0101,0.001,0,0.0028,0.0098,0.0035
1890,3/5/03,13.6,0.80775625,0.1682,0.0352,0.0307,1.4003,0.0061,0.0325,0.0216,0.0027,0.0054,0.0016,3.00E-04,0.057,0.0033,0.0029,0.0124,0,0,2.00E-04,0,0.001
1891,3/6/03,10.4,0.60460069,0.1813,0.0355,0.1632,1.0061,0.0087,0.0434,0.0431,0.0036,0.0068,1.00E-04,0.0015,0.0664,0.0086,0.0027,0.034,0,0,4.00E-04,0.0025,0.0034
